condition;target_name;target_colour;competitor_name;competitor_colour;distractor1_name;distractor1_colour;distractor2_name;distractor2_colour
NF;Tomate;gruen;Bueroklammer;gruen;Socken;braun;Waescheklammer;orange
ANF;Zitrone;gelb;Kartoffeln;orange;Bueroklammer;braun;Socken;braun
NF;Aprikose;rot;Bueroklammer;rot;Sonnenbrille;gruen;Avokado;gelb
ANF;Bohnen;gruen;Zitrone;gelb;Zucchini;rot;Bueroklammer;rot
AF;Paprika;braun;Paprika;rot;Waescheklammer;orange;Sonnenbrille;orange
NF;Trauben;orange;Socken;orange;Zucchini;rot;Waescheklammer;gelb
ANF;Kartoffeln;orange;Aprikose;rot;Sonnenbrille;gruen;Avokado;gelb
AF;Waescheklammer;orange;Waescheklammer;gelb;Bueroklammer;braun;Socken;braun
NF;Bohnen;gruen;Sonnenbrille;gruen;Bueroklammer;braun;Socken;orange
AF;Trauben;orange;Trauben;gelb;Bueroklammer;rot;Sonnenbrille;gruen
NF;Zitrone;gelb;Socken;gelb;Bueroklammer;rot;Aubergine;gruen
NF;Mandarine;orange;Waescheklammer;orange;Sonnenbrille;braun;Aubergine;rot
AF;Gurke;rot;Gurke;braun;Sonnenbrille;gruen;Waescheklammer;gelb
NF;Banane;braun;Sonnenbrille;braun;Avokado;gelb;Zucchini;rot
ANF;Tomate;gruen;Mandarine;orange;Bueroklammer;rot;Waescheklammer;gelb
AF;Bueroklammer;rot;Bueroklammer;braun;Aubergine;gruen;Socken;orange
AF;Sonnenbrille;braun;Sonnenbrille;gruen;Zucchini;rot;Avokado;gelb
ANF;Mandarine;orange;Erdbeere;rot;Socken;braun;Bueroklammer;braun
NF;Erbsen;gelb;Waescheklammer;gelb;Sonnenbrille;orange;Socken;braun
ANF;Walnuss;braun;Bohnen;gruen;Avokado;gelb;Zucchini;rot
ANF;Aprikose;rot;Tomate;gruen;Waescheklammer;gelb;Socken;orange
AF;Kirsche;gelb;Kirsche;gruen;Socken;braun;Bueroklammer;braun
ANF;Erbsen;gelb;Banane;braun;Socken;orange;Sonnenbrille;gruen
AF;Moehre;gruen;Moehre;orange;Avokado;gelb;Zucchini;rot
NF;Gurke;rot;Waescheklammer;rot;Socken;orange;Sonnenbrille;gruen
AF;Socken;gruen;Socken;orange;Waescheklammer;gelb;Bueroklammer;rot
ANF;Erdbeere;rot;Walnuss;braun;Waescheklammer;orange;Aubergine;gruen
NF;Paprika;braun;Waescheklammer;braun;Bueroklammer;gruen;Sonnenbrille;gelb
AF;Sonnenbrille;gelb;Sonnenbrille;rot;Socken;orange;Aubergine;gruen
NF;Kartoffeln;orange;Bueroklammer;orange;Sonnenbrille;gelb;Sonnenbrille;braun
ANF;Banane;braun;Erbsen;gelb;Aubergine;gruen;Waescheklammer;orange
NF;Moehre;gruen;Socken;gruen;Waescheklammer;gelb;Bueroklammer;rot
NF;Kirsche;gelb;Sonnenbrille;gelb;Waescheklammer;rot;Bueroklammer;gruen
NF;Erdbeere;rot;Socken;rot;Aubergine;gruen;Bueroklammer;braun
NF;Walnuss;braun;Bueroklammer;braun;Waescheklammer;orange;Sonnenbrille;orange
