condition;target_name;target_colour;competitor_name;competitor_colour;distractor1_name;distractor1_colour;distractor2_name;distractor2_colour
NF;Erbsen;gelb;Waescheklammer;gelb;Bueroklammer;braun;Aubergine;rot
ANF;Erdbeere;rot;Walnuss;braun;Birne;gruen;Bueroklammer;orange
AF;Sonnenbrille;braun;Sonnenbrille;gruen;Bueroklammer;orange;Waescheklammer;orange
ANF;Tomate;gruen;Kartoffeln;orange;Zucchini;gelb;Sonnenbrille;gelb
AF;Gurke;rot;Gurke;braun;Sonnenbrille;gruen;Birne;gruen
NF;Zitrone;gelb;Sonnenbrille;gelb;Waescheklammer;braun;Socken;rot
NF;Walnuss;braun;Waescheklammer;braun;Zucchini;gelb;Sonnenbrille;gelb
AF;Sonnenbrille;gelb;Sonnenbrille;rot;Waescheklammer;orange;Bueroklammer;orange
NF;Trauben;orange;Waescheklammer;orange;Aubergine;rot;Avokado;gelb
NF;Banane;braun;Bueroklammer;braun;Socken;orange;Waescheklammer;gruen
ANF;Zitrone;gelb;Tomate;gruen;Socken;braun;Sonnenbrille;rot
NF;Paprika;braun;Sonnenbrille;braun;Bueroklammer;gruen;Socken;orange
ANF;Erbsen;gelb;Aprikose;rot;Waescheklammer;braun;Bueroklammer;braun
AF;Kirsche;gelb;Kirsche;gruen;Sonnenbrille;rot;Socken;braun
NF;Kartoffeln;orange;Bueroklammer;orange;Sonnenbrille;rot;Sonnenbrille;gruen
NF;Tomate;gruen;Socken;gruen;Avokado;gelb;Bueroklammer;braun
AF;Waescheklammer;orange;Waescheklammer;gelb;Socken;rot;Bueroklammer;braun
ANF;Walnuss;braun;Erdbeere;rot;Waescheklammer;orange;Birne;gruen
ANF;Banane;braun;Zitrone;gelb;Socken;rot;Aubergine;rot
NF;Bohnen;gruen;Sonnenbrille;gruen;Socken;braun;Waescheklammer;orange
ANF;Bohnen;gruen;Banane;braun;Bueroklammer;orange;Waescheklammer;orange
NF;Gurke;rot;Waescheklammer;rot;Bueroklammer;orange;Birne;gruen
AF;Moehre;gruen;Moehre;orange;Socken;braun;Sonnenbrille;rot
ANF;Aprikose;rot;Mandarine;orange;Sonnenbrille;gruen;Socken;braun
NF;Mandarine;orange;Socken;orange;Sonnenbrille;gelb;Sonnenbrille;rot
NF;Moehre;gruen;Bueroklammer;gruen;Socken;rot;Zucchini;gelb
AF;Bueroklammer;rot;Bueroklammer;braun;Zucchini;gelb;Sonnenbrille;gelb
ANF;Mandarine;orange;Bohnen;gruen;Sonnenbrille;gelb;Zucchini;gelb
NF;Aprikose;rot;Socken;rot;Birne;gruen;Bueroklammer;orange
AF;Socken;gruen;Socken;orange;Sonnenbrille;gelb;Zucchini;gelb
ANF;Kartoffeln;orange;Erbsen;gelb;Sonnenbrille;rot;Sonnenbrille;gruen
AF;Trauben;orange;Trauben;gelb;Waescheklammer;braun;Socken;rot
NF;Kirsche;gelb;Socken;gelb;Waescheklammer;orange;Waescheklammer;braun
AF;Paprika;braun;Paprika;rot;Birne;gruen;Sonnenbrille;gruen
NF;Erdbeere;rot;Bueroklammer;rot;Sonnenbrille;gruen;Socken;braun
NF;Erbsen;gelb;Waescheklammer;gelb;Bueroklammer;braun;Aubergine;rot
ANF;Erdbeere;rot;Walnuss;braun;Birne;gruen;Bueroklammer;orange
AF;Sonnenbrille;braun;Sonnenbrille;gruen;Bueroklammer;orange;Waescheklammer;orange
ANF;Tomate;gruen;Kartoffeln;orange;Zucchini;gelb;Sonnenbrille;gelb
AF;Gurke;rot;Gurke;braun;Sonnenbrille;gruen;Birne;gruen
NF;Zitrone;gelb;Sonnenbrille;gelb;Waescheklammer;braun;Socken;rot
NF;Walnuss;braun;Waescheklammer;braun;Zucchini;gelb;Sonnenbrille;gelb
AF;Sonnenbrille;gelb;Sonnenbrille;rot;Waescheklammer;orange;Bueroklammer;orange
NF;Trauben;orange;Waescheklammer;orange;Aubergine;rot;Avokado;gelb
NF;Banane;braun;Bueroklammer;braun;Socken;orange;Waescheklammer;gruen
ANF;Zitrone;gelb;Tomate;gruen;Socken;braun;Sonnenbrille;rot
NF;Paprika;braun;Sonnenbrille;braun;Bueroklammer;gruen;Socken;orange
ANF;Erbsen;gelb;Aprikose;rot;Waescheklammer;braun;Bueroklammer;braun
AF;Kirsche;gelb;Kirsche;gruen;Sonnenbrille;rot;Socken;braun
NF;Kartoffeln;orange;Bueroklammer;orange;Sonnenbrille;rot;Sonnenbrille;gruen
NF;Tomate;gruen;Socken;gruen;Avokado;gelb;Bueroklammer;braun
AF;Waescheklammer;orange;Waescheklammer;gelb;Socken;rot;Bueroklammer;braun
ANF;Walnuss;braun;Erdbeere;rot;Waescheklammer;orange;Birne;gruen
ANF;Banane;braun;Zitrone;gelb;Socken;rot;Aubergine;rot
NF;Bohnen;gruen;Sonnenbrille;gruen;Socken;braun;Waescheklammer;orange
ANF;Bohnen;gruen;Banane;braun;Bueroklammer;orange;Waescheklammer;orange
NF;Gurke;rot;Waescheklammer;rot;Bueroklammer;orange;Birne;gruen
AF;Moehre;gruen;Moehre;orange;Socken;braun;Sonnenbrille;rot
ANF;Aprikose;rot;Mandarine;orange;Sonnenbrille;gruen;Socken;braun
NF;Mandarine;orange;Socken;orange;Sonnenbrille;gelb;Sonnenbrille;rot
NF;Moehre;gruen;Bueroklammer;gruen;Socken;rot;Zucchini;gelb
AF;Bueroklammer;rot;Bueroklammer;braun;Zucchini;gelb;Sonnenbrille;gelb
