condition;target_name;target_colour;competitor_name;competitor_colour;distractor1_name;distractor1_colour;distractor2_name;distractor2_colour
NF;Zitrone;gelb;Waescheklammer;gelb;Bueroklammer;orange;Zucchini;gruen
ANF;Banane;braun;Aprikose;rot;Socken;gruen;Avokado;gelb
NF;Tomate;gruen;Bueroklammer;gruen;Zucchini;gelb;Birne;rot
AF;Bueroklammer;rot;Bueroklammer;braun;Socken;orange;Waescheklammer;gruen
NF;Kirsche;gelb;Socken;gelb;Bueroklammer;braun;Sonnenbrille;braun
AF;Gurke;rot;Gurke;braun;Waescheklammer;gruen;Sonnenbrille;orange
ANF;Bohnen;gruen;Banane;braun;Sonnenbrille;rot;Sonnenbrille;orange
NF;Banane;braun;Waescheklammer;braun;Birne;rot;Bueroklammer;orange
AF;Paprika;braun;Paprika;rot;Avokado;gelb;Zucchini;gelb
NF;Erdbeere;rot;Bueroklammer;rot;Socken;gruen;Sonnenbrille;orange
AF;Waescheklammer;orange;Waescheklammer;gelb;Socken;gruen;Socken;braun
NF;Paprika;braun;Bueroklammer;braun;Aubergine;rot;Sonnenbrille;rot
AF;Trauben;orange;Trauben;gelb;Sonnenbrille;braun;Socken;gruen
NF;Walnuss;braun;Sonnenbrille;braun;Waescheklammer;gruen;Socken;orange
NF;Bohnen;gruen;Socken;gruen;Sonnenbrille;rot;Avokado;gelb
NF;Mandarine;orange;Waescheklammer;orange;Zucchini;gruen;Zucchini;gelb
ANF;Tomate;gruen;Erdbeere;rot;Bueroklammer;braun;Sonnenbrille;braun
AF;Moehre;gruen;Moehre;orange;Socken;braun;Avokado;gelb
NF;Aprikose;rot;Socken;rot;Sonnenbrille;orange;Waescheklammer;gruen
ANF;Erbsen;gelb;Walnuss;braun;Waescheklammer;gruen;Socken;orange
NF;Gurke;rot;Waescheklammer;rot;Aubergine;gelb;Bueroklammer;braun
ANF;Walnuss;braun;Kartoffeln;orange;Avokado;gelb;Aubergine;gelb
NF;Erbsen;gelb;Sonnenbrille;gelb;Socken;orange;Socken;gruen
NF;Moehre;gruen;Sonnenbrille;gruen;Socken;braun;Aubergine;rot
AF;Socken;gruen;Socken;orange;Sonnenbrille;rot;Aubergine;rot
NF;Trauben;orange;Bueroklammer;orange;Avokado;gelb;Socken;braun
AF;Sonnenbrille;gelb;Sonnenbrille;rot;Bueroklammer;braun;Socken;orange
ANF;Aprikose;rot;Mandarine;orange;Aubergine;gelb;Socken;braun
ANF;Kartoffeln;orange;Bohnen;gruen;Socken;braun;Aubergine;rot
ANF;Zitrone;gelb;Tomate;gruen;Sonnenbrille;orange;Sonnenbrille;rot
AF;Kirsche;gelb;Kirsche;gruen;Sonnenbrille;orange;Sonnenbrille;rot
NF;Kartoffeln;orange;Socken;orange;Sonnenbrille;braun;Aubergine;gelb
ANF;Mandarine;orange;Zitrone;gelb;Aubergine;rot;Socken;gruen
