condition;target_name;target_colour;competitor_name;competitor_colour;distractor1_name;distractor1_colour;distractor2_name;distractor2_colour
NF;Tomate;gruen;Socken;gruen;Waescheklammer;orange;Sonnenbrille;orange
AF;Paprika;braun;Paprika;rot;Sonnenbrille;orange;Socken;gruen
NF;Zitrone;gelb;Sonnenbrille;gelb;Socken;braun;Bueroklammer;gruen
AF;Bueroklammer;rot;Bueroklammer;braun;Sonnenbrille;gelb;Avokado;gelb
ANF;Walnuss;braun;Mandarine;orange;Socken;gruen;Avokado;rot
NF;Bohnen;gruen;Sonnenbrille;gruen;Avokado;rot;Aubergine;gelb
NF;Banane;braun;Sonnenbrille;braun;Socken;orange;Socken;rot
ANF;Bohnen;gruen;Erbsen;gelb;Socken;braun;Waescheklammer;orange
AF;Trauben;orange;Trauben;gelb;Socken;gruen;Sonnenbrille;braun
NF;Erbsen;gelb;Waescheklammer;gelb;Avokado;gruen;Socken;gruen
NF;Paprika;braun;Bueroklammer;braun;Aubergine;gelb;Avokado;gruen
ANF;Kartoffeln;orange;Erdbeere;rot;Sonnenbrille;braun;Socken;gruen
NF;Kirsche;gelb;Socken;gelb;Sonnenbrille;braun;Sonnenbrille;rot
AF;Sonnenbrille;braun;Sonnenbrille;gruen;Avokado;gelb;Waescheklammer;orange
ANF;Erbsen;gelb;Kartoffeln;orange;Avokado;rot;Sonnenbrille;braun
NF;Mandarine;orange;Bueroklammer;orange;Avokado;gelb;Socken;braun
NF;Aprikose;rot;Socken;rot;Sonnenbrille;gelb;Avokado;gelb
ANF;Banane;braun;Tomate;gruen;Sonnenbrille;rot;Sonnenbrille;orange
NF;Gurke;rot;Waescheklammer;rot;Birne;orange;Bueroklammer;braun
ANF;Aprikose;rot;Bohnen;gruen;Waescheklammer;orange;Avokado;gelb
AF;Moehre;gruen;Moehre;orange;Sonnenbrille;rot;Avokado;rot
NF;Kartoffeln;orange;Socken;orange;Sonnenbrille;rot;Avokado;rot
AF;Kirsche;gelb;Kirsche;gruen;Avokado;rot;Sonnenbrille;orange
ANF;Zitrone;gelb;Banane;braun;Sonnenbrille;orange;Sonnenbrille;rot
NF;Trauben;orange;Waescheklammer;orange;Bueroklammer;braun;Aubergine;rot
AF;Sonnenbrille;gelb;Sonnenbrille;rot;Waescheklammer;orange;Socken;braun
NF;Erdbeere;rot;Bueroklammer;rot;Socken;gruen;Sonnenbrille;braun
NF;Moehre;gruen;Bueroklammer;gruen;Sonnenbrille;orange;Waescheklammer;orange
